                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.3846,                 1.1806,                 1.5136,                0.86468,                0.74086,                0.84228,                0.53506,                 1.3413,                 1.1724,                 1.5113,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3595,                 1.0937,                 1.4848,                0.87194,                0.75121,                0.84439,                0.56047,                 1.2406,                 1.0501,                 1.4641,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3607,                 1.1192,                 1.4853,                0.92171,                 0.7029,                0.82304,                0.54791,                 1.3135,                 1.2152,                 1.4814,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3604,                 1.1514,                 1.4725,                0.86144,                0.77295,                0.85702,                0.56247,                 1.2957,                  1.093,                 1.5027,               0.001307,               0.001307,               0.001307
                     37,                  1.328,                 1.0901,                 1.4685,                0.90907,                 0.7343,                0.85467,                0.57417,                 1.2563,                 1.1251,                 1.4904,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.326,                 1.0672,                  1.459,                0.84421,                0.77536,                0.83672,                 0.5506,                 1.2525,                 1.0821,                  1.459,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2927,                 1.0568,                 1.4401,                0.86724,                0.75738,                0.85088,                0.56503,                 1.2297,                0.99955,                 1.4193,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.302,                  1.031,                 1.4405,                0.87734,                  0.812,                0.86704,                0.60137,                 1.1466,                0.96368,                 1.3918,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2721,                0.96835,                 1.4106,                0.94095,                0.76978,                0.87797,                0.58731,                 1.1967,                0.95734,                 1.4047,               0.001208,               0.001208,               0.001208
                     42,                 1.2819,                 1.0105,                 1.4251,                 0.9398,                0.79227,                0.87072,                0.58071,                 1.2308,                 0.9689,                 1.4619,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2511,                0.97131,                 1.3869,                0.91149,                0.76812,                0.87024,                0.60419,                 1.1619,                0.92518,                 1.3876,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2194,                0.94842,                 1.3754,                  0.902,                0.80034,                0.89725,                0.61772,                 1.1706,                0.92007,                 1.4058,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2585,                0.97858,                 1.4071,                0.88818,                0.82502,                0.88884,                0.62572,                 1.1234,                0.86894,                 1.3815,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.235,                0.95215,                 1.3872,                0.88929,                0.79952,                0.88481,                0.62946,                 1.0936,                0.91822,                 1.3581,               0.001109,               0.001109,               0.001109
                     47,                 1.2214,                0.93886,                 1.3773,                 0.9151,                0.81401,                0.90317,                0.64461,                 1.0577,                0.80582,                 1.3189,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2388,                0.94525,                 1.3884,                0.87791,                0.83368,                0.89761,                0.62184,                 1.1137,                0.89804,                 1.3553,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1591,                 0.8889,                 1.3324,                 0.8935,                0.79952,                0.88307,                0.63004,                 1.1483,                0.86658,                 1.3942,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1736,                0.93027,                 1.3379,                0.91852,                0.79469,                0.90598,                0.63258,                 1.0938,                0.90079,                 1.3687,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1905,                0.91886,                 1.3438,                0.89216,                0.81927,                0.90298,                0.65069,                 1.0711,                0.81128,                 1.3196,                0.00101,                0.00101,                0.00101
                     52,                 1.1891,                0.89582,                 1.3449,                0.89651,                0.83697,                0.90018,                0.65187,                 1.0357,                0.78579,                 1.3063,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1332,                 0.8565,                 1.2974,                0.93595,                0.80676,                0.90575,                0.65694,                 1.0421,                0.76963,                 1.3202,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1431,                0.85369,                 1.3207,                0.91447,                0.82609,                0.91023,                0.64387,                  1.073,                0.75323,                 1.3171,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1503,                0.85263,                 1.3218,                0.89055,                0.84515,                0.90849,                0.66278,                 1.0226,                 0.7646,                 1.2845,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.113,                0.83348,                 1.2864,                0.94164,                0.81884,                0.90665,                0.64722,                 1.0406,                0.75939,                 1.2862,               0.000911,               0.000911,               0.000911
                     57,                 1.1063,                0.82905,                 1.2962,                0.92118,                0.81861,                0.90366,                0.64722,                 1.0653,                0.75967,                 1.2832,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1488,                0.87479,                 1.3157,                0.88739,                 0.8744,                0.91952,                0.66191,                 1.0564,                0.84225,                 1.3334,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0874,                0.82473,                 1.2713,                0.96047,                 0.8285,                 0.9285,                0.66091,                  1.037,                0.81649,                 1.2799,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0925,                0.80227,                 1.2757,                0.92342,                0.84471,                0.92648,                0.67105,                 1.0027,                0.70728,                 1.2511,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0994,                0.79267,                 1.2883,                  0.942,                0.85024,                0.92294,                0.67593,                 1.0034,                0.74223,                 1.2319,               0.000812,               0.000812,               0.000812
                     62,                 1.1059,                0.80805,                 1.2857,                0.91229,                0.85418,                 0.9283,                0.68423,                 0.9807,                0.70875,                 1.2404,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0494,                0.75941,                 1.2557,                0.94144,                0.85433,                0.93749,                0.68941,                0.96553,                0.66758,                  1.238,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0609,                0.75928,                 1.2456,                0.93086,                0.83333,                0.92091,                0.66781,                0.99805,                0.67856,                 1.2359,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0548,                0.78329,                 1.2614,                0.91564,                0.84058,                0.92519,                0.66886,                 1.0125,                0.74165,                 1.2603,              0.0007328,              0.0007328,              0.0007328
